agency_name,agency_abbrev,category
Weslaco,4877272,City
West,4877332,City
Westbrook,4877380,City
West Columbia,4877416,City
Westlake,4877620,City
West Lake Hills,4877632,City
Weston,4877740,City
Weston Lakes,,City
West Orange,4877752,City
Westover Hills,4877788,City
West Tawakoni,4877896,City
West University Place,4877956,City
Westworth Village,4878064,City
White Deer,4878316,City
Whiteface,4878328,City
Whitehouse,4878388,City
White Oak,4878436,City
Whitesboro,4878532,City
White Settlement,4878544,City
Whitewright,4878628,City
Whitney,4878664,City
Wichita Falls,4879000,City
Wickett,4879036,City
Willis,4879408,City
Willow Park,4879492,City
Wills Point,4879564,City
Wilmer,4879576,City
Wimberley,4879624,City
Windcrest,4879672,City
Windom,4879684,City
Windthorst,4879696,City
Winfield,4879720,City
Wink,4879768,City
Winnsboro,4879816,City
Winona,4879828,City
Winters,4879876,City
Wixon Valley,4879919,City
Wolfe City,4879948,City
Wolfforth,4879972,City
Woodbranch Village,4880044,City
Woodcreek,4880058,City
Woodloch,4880144,City
Woodsboro,4880176,City
Woodson,4880188,City
Woodville,4880212,City
Woodway,4880224,City
Wortham,4880296,City
Wylie,,City
Yantis,4880440,City
Yorktown,4880584,City
Zavalla,4880728,City
Angelo State University,ASU,University
Lamar University,LU,University
Midwestern State University,MSU,University
Prairie View A&M University,PVAMU,University
Sam Houston State University,SHSU,University
Stephen F Austin State University,SFA,University
Sul Ross State University,SRSU,University
Tarleton State University,Tarleton,University
Texas A&M AgriLife Extension Service,AgriLife Extension,University
Texas A&M AgriLife Research,AgriLife Research,University
Texas A&M Engineering Experiment Station,TEES,University
Texas A&M Engineering Extension Service,TEEX,University
Texas A&M Forest Service,TAMFS,University
Texas A&M Health Science Center,TAMHSC,University
Texas A&M International University,TAMIU,University
Texas A&M System Sponsored Research Services,SRS,University
Texas A&M System Technology Commercialization,TTC,University
Texas A&M Transportation Institute,TTI,University
Texas A&M University,Texas A&M,University
Texas A&M University at Galveston,TAMUG,University
Texas A&M University at Qatar,Texas A&M at Qatar,University
Texas A&M University Central Texas,A&M Central Texas,University
Texas A&M University Commerce,A&M Commerce,University
Texas A&M University Corpus Christi,A&M Corpus Christi,University
Texas A&M University Kingsville,Texas A&M Kingsville,University
Texas A&M University San Antonio,A&M San Antonio,University
Texas A&M University Texarkana,TAMUT,University
Texas A&M Veterinary Medical Diagnostic Laboratory,TVMDL,University
Texas Southern University,TSU,University
Texas State University,TXST,University
Texas Tech University,TTU,University
Texas Womans University,TWU,University
The University of Texas at Arlington,UTA,University
The University of Texas at Austin,UT,University
The University of Texas at Brownsville,UTB,University
The University of Texas at Dallas,UTD,University
The University of Texas at El Paso,UTEP,University
The University of Texas at San Antonio,UTSA,University
The University of Texas at Tyler,UTT,University
The University of Texas Permian Basin,UTPB,University
The University of Texas Rio Grande Valley,UTRGV,University
The University of Texas Pan American,UTPA,University
University of Houston,UH,University
University of Houston Clear Lake,UHCL,University
University of Houston Downtown,UHD,University
University of Houston Victoria,UHV,University
University of North Texas,UNT,University
University of North Texas at Dallas,UNTD,University
West Texas A&M University,WTAMU,University
Aerospace Federally Funded Research and Development Center,AFFRDC,Federal R&D or Military Departments
Air Force Research Labs,AFRL,Federal R&D or Military Departments
Air National Guard,ANG,Federal R&D or Military Departments
Ames Research Center,AMC,Federal R&D or Military Departments
Argonne National Laboratory,ANL,Federal R&D or Military Departments
Armstrong Flight Research Center,AFRC,Federal R&D or Military Departments
Army National Guard,ARNG,Federal R&D or Military Departments
Brookhaven National Laboratory,BNL,Federal R&D or Military Departments
Center for Enterprise Modernization,CEM,Federal R&D or Military Departments
Glenn Research Center,GRC,Federal R&D or Military Departments
Goddard Institute of Space Studies,GISS,Federal R&D or Military Departments
Goddard Space Flight Center,GSFC,Federal R&D or Military Departments
Idaho National Laboratory,INL,Federal R&D or Military Departments
Jet Propulsion Laboratory,JPL,Federal R&D or Military Departments
Johnson Space Center,JSC,Federal R&D or Military Departments
Katherine Johnson IV and V Facility,IV and V,Federal R&D or Military Departments
Kennedy Space Center,KSC,Federal R&D or Military Departments
Langley Research Center,LRC,Federal R&D or Military Departments
Lawrence Berkeley National Laboratory,LBNL,Federal R&D or Military Departments
Lawrence Livermore National Laboratory,LLNL,Federal R&D or Military Departments
Lincoln Laboratory MIT,MITLL,Federal R&D or Military Departments
Los Alamos National Laboratory,LANL,Federal R&D or Military Departments
Marshall Space Flight Center,MSFC,Federal R&D or Military Departments
Michoud Assembly Facility,MAF,Federal R&D or Military Departments
NASA Engineering and Safety Center,NESC,Federal R&D or Military Departments
NASA Headquarters,NHQ,Federal R&D or Military Departments
NASA Safety Center,NSC,Federal R&D or Military Departments
NASA Shared Services Center,NSSC,Federal R&D or Military Departments
National Center for Atmospheric Research,NCAR,Federal R&D or Military Departments
National Renewable Energy Laboratory,NREL,Federal R&D or Military Departments
Naval Postgraduate School,NPS,Federal R&D or Military Departments
Plum Brook Station,PBS,Federal R&D or Military Departments
Sandia National Laboratories,SNL,Federal R&D or Military Departments
Stennis Space Center,SSC,Federal R&D or Military Departments
US Air Force,USAF,Federal R&D or Military Departments
US Air Force Academy,USAFA,Federal R&D or Military Departments
US Air Force Reserve,USAFR,Federal R&D or Military Departments
US Army,USA,Federal R&D or Military Departments
US Army Corps of Engineers,USACE,Federal R&D or Military Departments
US Army Reserve,USAR,Federal R&D or Military Departments
US Coast Guard,USCG,Federal R&D or Military Departments
US Coast Guard Reserve,USCGR,Federal R&D or Military Departments
US Fish and Wildlife Service,FWS,Federal R&D or Military Departments
US Geological Survey,USGS,Federal R&D or Military Departments
US Marine Corps,USMC,Federal R&D or Military Departments
US Marine Corps Reserve,USMCR,Federal R&D or Military Departments
US Military Academy,USMA,Federal R&D or Military Departments
US Naval Academy,USNA,Federal R&D or Military Departments
US Navy,USN,Federal R&D or Military Departments
US Navy Reserve,USNR,Federal R&D or Military Departments
US Space Force,USSF,Federal R&D or Military Departments
Wallops Flight Facility,WFF,Federal R&D or Military Departments
White Sands Test Facility,WSTF,Federal R&D or Military Departments
